PB0,PB1,PB2,PB3,GB0,GB1,GB2,GB3,CIN,CINB,PB_OUT,GB_OUT,CNX_OUT,CNY_OUT,CNZ_OUT,total_leakage
0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,6796.514641285365
0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,6794.543542346622
0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,6855.7545987358135
0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,6853.783499797071
0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,6940.454244394984
0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,7007.626797624924
0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,6945.222463709093
0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,7012.395016939032
0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,6725.853337348109
0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,6763.976308350967
0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,6785.093294798556
0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,6823.216265801414
0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,6895.693658081635
0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,7051.0445036728315
0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,6900.461877395744
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,7055.81272298694
0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,6757.619245694543
0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,6899.993243019296
0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,6800.786469184352
0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,6943.160466509106
0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,7257.664802615559
0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,7339.215024040237
0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,7189.288550142152
0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,7270.8387715668305
0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,7182.385265067284
0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,7234.885904264881
0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,7197.530332957298
0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,7250.030972154895
0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,7245.471360285224
0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,7272.549843573563
0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,7177.095107811817
0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,7204.173591100155
0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,6992.226045617092
0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,6990.254946678349
0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,6927.748733153129
0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,6925.777634214387
0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,6998.500606607194
0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,7065.6731598371325
0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,6930.124354133787
0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,6997.296907363726
0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,6923.221069058918
0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,6961.344040061776
0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,6938.366136948931
0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,6976.489107951788
0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,7254.026766881041
0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,7377.999544246238
0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,7185.650514407634
0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,7309.62329177283
0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,6984.708718252271
0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,7095.704647351024
0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,7097.0195939107625
0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,7208.015523009515
0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,7094.525621379386
0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,7176.075842804064
0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,6918.20606763338
0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,6999.7562890580575
0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,7019.246083831112
0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,7071.746723028708
0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,6926.447850448525
0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,6978.948489646122
0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,7082.332179049052
0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,7109.41066233739
0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,6906.012625303045
0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,6933.091108591383
0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,6829.086864380919
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,6827.115765442177
0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,6711.137988780695
0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,6709.166889841953
0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,6835.361425371021
0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,6902.53397860096
0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,6659.041871625014
0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,6726.214424854953
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,6760.081887822746
0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,6798.204858825603
0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,6667.283654440158
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,6705.406625443016
0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,7090.8875856448685
0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,7214.860363010065
0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,6914.568031898861
0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,7038.540809264058
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,6821.569537016098
0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,6932.565466114851
0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,6880.4088495383285
0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,6991.404778637082
0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,6891.654605487447
0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,6973.204826912125
0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,7033.415708301237
0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,7114.965929725915
0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,6731.525436576912
0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,6784.026075774509
0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,6717.620922239845
0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,6770.121561437441
0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,6879.461163157113
0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,6906.539646445452
0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,7021.222265970902
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,7048.300749259241
0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,6782.881640639916
0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,6780.910541701174
0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,6743.8264840852125
0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,6741.85538514647
0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,6632.490409479082
0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,6699.662962709021
0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,6774.251512292872
0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,6841.42406552281
0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,6472.361240568546
0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,6510.484211571404
0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,6458.456726231478
0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,6496.579697234336
0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,6888.016569752929
0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,7011.989347118127
0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,7029.777672566718
0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,7153.750449931916
0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,6775.364313275096
0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,6886.360242373848
0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,6913.097344842846
0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,7024.0932739415975
0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,6921.376346334366
0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,7002.926567759044
0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,6955.194147875556
0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,7036.744369300233
0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,6761.247177423831
0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,6813.747816621428
0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,6849.53671710136
0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,6902.037356298957
